artist,year,month_day,auction house,seller,seller/artwork,purchaser,pounds,shillings,pence,
"HALS, Frank",1894,7/7/2016,Christie's,,Fountaine Collection. 26. Boy with a Dog. 11 in. circle ),Lawrie,682,10,0,
"HALS, Frank",1894,7/7/2016,Christie's,,Fountaine Collection. 27. A Boy. n in. circle ),Lawrie,682,10,0,
"HALS, Frank",1895,4/22/2016,Christie's,,James Orrock. ' 198. Laughing Girl,Colnaghi,252,0,0,
"HALS, Frank",1895,6/25/2016,Christie's,,Henry Doetsch. 372. Gentleman. Illustrated. 26^x22^,Shepherd,672,0,0,
"HALS, Frank",1895,6/25/2016,Christie's,,Henry Doetsch. 373. Lady with Fan. 26A x 22^,Shepherd,210,0,0,
"HALS, Frank",1895,7/13/2016,Christie's,,85. Man with Glass of Wine. 18 x 14,Lesser,430,10,0,
"HALS, Frank",1897,4/1/2016,Robinson & F.,,"113. Gentleman in Black, and Ruff. 34 x 26f",Agnew,3517,10,0,
"HALS, Frank",1897,5/27/2016,Robinson & F.,,"- 59. Gentleman in Black, and Ruff. 25J x 23}",Hoogendyk,173,5,0,
"HALS, Frank",1899,3/4/2016,Christie's,,18. Head of a Youth. 9 in. circle,Reynolds,110,5,0,
"HALS, Frank",1899,4/29/2016,Christie's,,J. L. Mieville. 65. Count Falkenstein. Illustrated. 29 x 24 Shepherd,,273,0,0,
"HALS, Frank",1899,5/13/2016,Christie's,,"90. Gentleman in Black Hat and Collar, aged 55. 1648. Illustrated. 49 x 39",Colnaghi,3150,0,0,
"HALS, Frank",1899,5/13/2016,Christie's,,"- 91. A Lady in Cap, seated, aged 47. 1648. Illustrated. 49 x 39 ",Lawrie and Co.,2100,0,0,
"HALS, Frank",1902,2/1/2016,Christie's,,H. W. Cholmley. 40. Gentleman and Gloves. 31 x 26,Agnew,3780,0,0,
"HALS, Frank",1902,5/3/2016,Christie's,,- 96. A Laughing Boy. 14x13,Lane,819,0,0,
"HALS, Frank",1902,5/3/2016,Christie's,,"- no. Gentleman in Brown, with Fur. 24x19",Bailey,168,0,0,
"HALS, Frank",1903,5/9/2016,Christie's,,H. P. Cunliffe. 100. Gentleman with Gloves. 22 x 17,Simmons,892,10,0,
"HALS, Frank",1903,6/22/2016,Christie's,,- 83. Two Boys Singing. 26 x 19I,Ashworth,131,15,0,
"HALS, Frank",1904,6/6/2016,Christie's,,J. Orrock. 265. Head of Cavalier. 95 x 7^,Boswell,315,0,0,
"HALS, Frank",1905,1/14/2016,Christie's,,137. Girl with Tub of Fish on Head. 11 x 7J,Wallis,357,0,0,
"HALS, Frank",1905,7/8/2016,Christie's,,- 48. Toper holding Glass. 11 x 9J,Courreau,273,0,0,
"HALS, Frank",1905,12/9/2016,Christie's,,- m. Gentleman in Hat. 13^x11,Banley,294,0,0,
"HALS, Frank",1906,12/1/2016,Christie's,,- 80. Man playing a Flute. 25^ x 24,Sir J. Linton,1575,0,0,
"HALS, Frank",1906,12/20/2016,Christie's,,- 81. A Toper. 25^x21,Willson,136,10,0,
"HALS, Frank",1907,2/23/2016,Christie's,,"- 99. Man in Red, with Jug. 27! x 23",Renton,105,0,0,
"HALS, Frank",1907,6/14/2016,Christie's,,- 91. Head of Boy Laughing. 2o| x 14b,G. Roe,99,15,0,
"HALS, Frank",1908,7/3/2016,Christie's,,- 123. Man with Brown Jug. 30 x 24,Lane,152,5,0,
"HALS, Frank",1908,11/19/2016,Robinson & F.,,Martin Colnaghi. 53. The Fish Sellers. 35 x 29,Pawsey,126,0,0,
"HALS, Frank",1909,7/2/2016,Christie's,,- 46. Gentleman in White Ruff. 29 x 23,Lee,189,0,0,
"HALS, Frank",1910,4/23/2016,Christie's,,- 133. Gentleman with White Collar. 12x9,Wallis,210,0,0,
"HALS, Frank",1910,12/10/2016,Christie's,,- 62. Boy holding a Jug. 17x14,Nicholson,315,0,0,
